DATA SET,DATE,PLAYER FULL NAME,POSITION,OWN TEAM,OPP TEAM,VENUE (R/H),MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2016-2017 Playoffs Season,4/15/17,Paul George,SF,Indiana,Cleveland,R,41.3,9,19,6,8,5,7,0,5,5,7,3,1,4,0,29
2016-2017 Playoffs Season,4/15/17,Thaddeus Young,PF,Indiana,Cleveland,R,33.5,3,4,0,1,2,2,5,4,9,4,3,0,2,0,8
2016-2017 Playoffs Season,4/15/17,Myles Turner,C,Indiana,Cleveland,R,32.5,5,12,0,0,1,2,4,4,8,1,4,4,1,1,11
2016-2017 Playoffs Season,4/15/17,Monta Ellis,SG,Indiana,Cleveland,R,27.6,4,8,1,3,2,2,0,4,4,1,2,1,2,0,11
2016-2017 Playoffs Season,4/15/17,Jeff Teague,PG,Indiana,Cleveland,R,35.6,3,10,2,5,7,7,0,2,2,4,4,0,1,0,15
2016-2017 Playoffs Season,4/15/17,Kevin Seraphin,PF,Indiana,Cleveland,R,15.6,4,6,0,0,0,0,3,0,3,0,3,0,1,0,8
2016-2017 Playoffs Season,4/15/17,CJ Miles,SF,Indiana,Cleveland,R,15.8,2,6,1,3,0,0,0,1,1,0,5,0,0,0,5
2016-2017 Playoffs Season,4/15/17,Aaron Brooks,PG,Indiana,Cleveland,R,7.3,2,3,1,2,0,0,0,1,1,1,0,0,1,0,5
2016-2017 Playoffs Season,4/15/17,Lance Stephenson,SG,Indiana,Cleveland,R,26.8,8,13,0,2,0,0,0,7,7,3,1,0,0,0,16
2016-2017 Playoffs Season,4/15/17,Lavoy Allen,PF,Indiana,Cleveland,R,4.2,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
2016-2017 Playoffs Season,4/15/17,LeBron James,SF,Cleveland,Indiana,H,42.7,12,20,2,3,6,9,1,5,6,13,3,3,3,0,32
2016-2017 Playoffs Season,4/15/17,Kevin Love,PF,Cleveland,Indiana,H,31.4,5,9,2,6,5,8,1,3,4,1,4,0,3,2,17
2016-2017 Playoffs Season,4/15/17,Tristan Thompson,C,Cleveland,Indiana,H,30.7,4,5,0,0,0,3,6,7,13,1,2,0,1,0,8
2016-2017 Playoffs Season,4/15/17,JR Smith,SG,Cleveland,Indiana,H,36.6,2,4,1,3,1,2,1,2,3,1,2,0,2,0,6
2016-2017 Playoffs Season,4/15/17,Kyrie Irving,PG,Cleveland,Indiana,H,38.9,11,27,1,9,0,1,0,3,3,6,3,2,2,1,23
2016-2017 Playoffs Season,4/15/17,Richard Jefferson,SF,Cleveland,Indiana,H,18.3,1,3,1,1,2,4,0,1,1,1,3,1,0,0,5
2016-2017 Playoffs Season,4/15/17,Kyle Korver,SG,Cleveland,Indiana,H,14.8,1,1,0,0,0,0,1,1,2,0,0,1,0,0,2
2016-2017 Playoffs Season,4/15/17,Deron Williams,PG,Cleveland,Indiana,H,10.5,2,4,1,2,0,0,0,0,0,1,1,0,0,0,5
2016-2017 Playoffs Season,4/15/17,Channing Frye,C,Cleveland,Indiana,H,16.1,4,5,3,4,0,0,0,2,2,2,1,0,0,0,11
2016-2017 Playoffs Season,4/15/17,Khris Middleton,PF,Milwaukee,Toronto,R,40.8,4,15,0,2,2,2,0,2,2,9,4,1,0,0,10
2016-2017 Playoffs Season,4/15/17,Giannis Antetokounmpo,SG,Milwaukee,Toronto,R,38.3,13,18,0,2,2,5,0,8,8,3,4,2,1,1,28
2016-2017 Playoffs Season,4/15/17,Thon Maker,PF,Milwaukee,Toronto,R,15.3,2,2,0,0,0,0,1,2,3,0,2,1,1,3,4
2016-2017 Playoffs Season,4/15/17,Tony Snell,SF,Milwaukee,Toronto,R,24.2,4,11,3,7,0,0,1,3,4,3,3,0,0,0,11
2016-2017 Playoffs Season,4/15/17,Malcolm Brogdon,SG,Milwaukee,Toronto,R,34.2,6,13,4,7,0,0,1,5,6,2,3,0,1,1,16
2016-2017 Playoffs Season,4/15/17,Greg Monroe,C,Milwaukee,Toronto,R,25.8,5,11,0,0,4,4,5,10,15,2,4,1,1,0,14
2016-2017 Playoffs Season,4/15/17,Matthew Dellavedova,PG,Milwaukee,Toronto,R,31.5,3,9,1,3,4,4,0,1,1,0,0,0,1,0,11
2016-2017 Playoffs Season,4/15/17,Mirza Teletovic,PF,Milwaukee,Toronto,R,6.1,0,2,0,1,0,0,0,0,0,0,2,0,0,0,0
2016-2017 Playoffs Season,4/15/17,Jason Terry,SG,Milwaukee,Toronto,R,9.5,0,1,0,0,0,0,0,1,1,2,0,0,0,0,0
2016-2017 Playoffs Season,4/15/17,Michael Beasley,SF,Milwaukee,Toronto,R,5.6,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
2016-2017 Playoffs Season,4/15/17,Spencer Hawes,PF,Milwaukee,Toronto,R,6.9,1,3,1,1,0,0,1,1,2,0,0,0,0,0,3
2016-2017 Playoffs Season,4/15/17,Rashad Vaughn,SG,Milwaukee,Toronto,R,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-2017 Playoffs Season,4/15/17,DeMarre Carroll,SF,Toronto,Milwaukee,H,23.6,2,3,0,1,1,3,0,4,4,0,4,0,1,1,5
2016-2017 Playoffs Season,4/15/17,Serge Ibaka,PF,Toronto,Milwaukee,H,35.6,8,14,1,4,2,4,3,11,14,0,2,0,1,3,19
2016-2017 Playoffs Season,4/15/17,Jonas Valanciunas,C,Toronto,Milwaukee,H,23.6,2,5,0,0,5,7,0,9,9,0,3,0,1,0,9
2016-2017 Playoffs Season,4/15/17,DeMar DeRozan,SG,Toronto,Milwaukee,H,38.8,7,21,0,2,13,14,0,8,8,1,3,0,1,0,27
2016-2017 Playoffs Season,4/15/17,Kyle Lowry,PG,Toronto,Milwaukee,H,33.9,2,11,0,6,0,1,1,1,2,6,4,2,1,0,4
2016-2017 Playoffs Season,4/15/17,PJ Tucker,SF,Toronto,Milwaukee,H,29.3,2,7,1,4,2,2,2,2,4,1,2,0,0,0,7
2016-2017 Playoffs Season,4/15/17,Cory Joseph,SG,Toronto,Milwaukee,H,26.5,1,5,1,1,0,0,0,0,0,5,2,0,3,0,3
2016-2017 Playoffs Season,4/15/17,Patrick Patterson,PF,Toronto,Milwaukee,H,16.4,1,3,1,3,0,0,0,3,3,1,0,0,1,0,3
2016-2017 Playoffs Season,4/15/17,Norman Powell,SG,Toronto,Milwaukee,H,5.8,2,4,1,1,0,0,0,0,0,0,0,0,1,0,5
2016-2017 Playoffs Season,4/15/17,Fred VanVleet,PG,Toronto,Milwaukee,H,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2016-2017 Playoffs Season,4/15/17,Delon Wright,PG,Toronto,Milwaukee,H,1.8,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
